id,Einstein_Radius_actual,Einstein_radius_Inception,Einstein_Radius_Sequential,Einstein_Radius_ResNet,Einstein_Radius_ResNetXt,Sigma_V_actual,Sigma_V_Inception,Sigma_V_Sequential,Sigma_V_ResNet,Sigma_V_ResNetXt,RedShift_Lens_ZL_actual,RedShift_Lens_ZL_Inception,RedShift_Lens_ZL_Sequential,RedShift_Lens_ZL_ResNet,RedShift_Lens_ZL_ResNetXt,Redshift_Source_ZS_actual,Redshift_Source_ZS_Inception,Redshift_Source_ZS_Sequential,Redshift_Source_ZS_ResNet,Redshift_Source_ZS_ResNetXt
62,1.094,1.12652,1.14098,1.17012,1.08804,288.73,272.431,264.437,287.636,277.297,0.778,0.733809,0.754589,0.545322,0.729062,1.883,1.76013,2.00832,1.86502,1.99492
63,1.305,1.26011,1.22621,1.40971,1.2972,271.848,278.176,274.844,277.559,277.842,0.509,0.499221,0.537551,0.518821,0.501661,1.844,1.6372,1.74218,1.91219,1.79453
64,1.547,1.74862,1.55685,1.43953,1.61675,285.932,293.23,298.753,283.214,291.576,0.364,0.382173,0.363277,0.353342,0.39517,1.386,1.67774,1.38574,1.61933,1.40802
65,1.323,1.0421,1.08329,1.13062,1.05524,256.313,249.093,261.713,256.16,255.705,0.469,0.491657,0.479044,0.462275,0.513539,2.577,1.95227,2.03481,2.39215,2.22801
66,1.915,1.82028,1.68453,1.62455,1.90192,273.439,282.389,283.285,275.128,276.17,0.171,0.212933,0.19041,0.194031,0.190531,2.935,1.59136,1.21449,1.3486,1.38108
67,1.314,1.11731,1.27627,1.22943,1.18781,269.737,271.71,251.417,251.888,258.144,0.298,0.300294,0.310974,0.294833,0.291498,0.947,0.773035,1.63258,1.42723,1.17461
69,1.133,1.15194,1.04632,1.22041,1.10566,270.48,266.725,256.675,275.589,280.977,0.801,0.897781,0.723737,0.844801,0.892306,2.681,2.9981,2.61077,2.01139,1.93767
70,1.151,1.15001,1.19162,1.20012,1.18502,281.702,282.201,278.054,284.279,278.304,0.633,0.637458,0.641268,0.588353,0.58225,1.655,1.90492,2.16494,1.688,2.24356
71,2.864,2.76537,2.47681,2.32158,2.76205,386.829,339.726,346.309,352.924,339.125,0.422,0.33206,0.264681,0.267349,0.280502,1.777,2.05296,1.2854,1.58967,1.49833
72,2.288,2.2948,2.27442,2.65866,2.27671,331.263,338.383,338.775,329.674,331.938,0.347,0.330539,0.347042,0.310169,0.356453,1.832,1.586,1.9458,2.09451,1.76655
73,1.02,1.04595,1.09295,1.20618,1.14468,271.341,268.809,261.892,285.767,281.31,0.33,0.344992,0.354612,0.359313,0.387152,0.702,0.743172,0.905199,0.968497,0.832471
74,2.165,2.15189,2.04603,2.09465,2.14087,328.142,331.278,318.616,331.742,320.476,0.423,0.435443,0.445183,0.419103,0.451519,2.144,2.34905,1.77189,2.16311,1.70967
75,1.621,1.69357,1.76304,1.55978,1.78572,273.226,248.45,260.512,255.933,267.453,0.233,0.259839,0.227786,0.234311,0.237978,1.222,1.34893,1.31084,1.6332,1.9814
76,1.003,1.13052,1.10302,1.06256,1.16065,215.823,236.966,234.531,231.342,245.067,0.358,0.428369,0.449081,0.410397,0.411174,2.267,1.78357,1.94239,1.78525,1.27676
77,1.005,1.04078,1.0516,0.96669,1.08696,290.487,254.868,259.601,259.434,251.102,0.524,0.496077,0.525811,0.515578,0.466653,1.02,1.06801,1.46775,1.84702,1.88369
78,1.513,1.89484,1.70512,1.73328,1.73151,243.64,267.878,284.479,259.977,293.974,0.108,0.161699,0.197355,0.216819,0.184198,1.257,1.68695,1.71615,2.09682,1.47698
80,1.408,1.35747,1.22829,1.25082,1.34351,283.532,313.349,314.584,285.409,290.058,0.319,0.33193,0.322352,0.305641,0.346406,0.965,0.845384,0.694836,0.928772,0.809526
81,1.784,1.79374,1.74399,2.07304,1.76994,258.385,302.935,292.023,298.834,287.683,0.091,0.12686,0.153055,0.194267,0.166079,2.015,1.27042,1.31492,1.68245,1.65492
82,1.239,1.2297,1.38605,1.43219,1.29552,277.928,262.402,249.182,267.552,255.417,0.258,0.26266,0.248939,0.284344,0.22915,0.644,0.814849,0.727991,1.52292,1.98441
83,1.614,1.36844,1.31406,1.42635,1.58997,268.389,220.714,245.118,258.809,229.019,0.174,0.174626,0.1749,0.1724,0.167989,0.96,1.53524,0.996388,1.31634,0.962504
85,1.433,1.43977,1.55423,1.55511,1.37011,283.465,334.164,319.379,308.186,322.287,0.694,0.78129,0.655552,0.650618,0.708463,3.176,2.10675,2.32487,2.21645,2.42306
86,1.519,1.51046,1.50825,1.5373,1.49438,323.275,315.25,316.366,315.746,310.454,0.657,0.619273,0.646297,0.665287,0.61779,1.749,1.76791,2.0563,1.65394,1.8692
87,0.727,0.75461,0.74234,0.808548,0.744228,260.142,213.088,228.009,258.003,223.334,1.332,1.05003,1.00356,1.12066,0.928623,3.087,2.64556,3.01903,2.57299,3.04991
88,1.085,0.79899,0.980982,0.93554,1.07287,214.116,209.383,218.766,208.998,227.452,0.281,0.279815,0.295418,0.297893,0.332762,2.925,2.32254,1.47572,1.71158,1.07038
90,1.088,0.997082,1.12323,1.12724,0.997571,234.473,251.089,244.755,250.033,232.816,0.33,0.390758,0.372218,0.388663,0.367697,1.389,0.829001,1.23298,1.65084,1.36985
91,1.583,1.5004,1.50911,1.56917,1.52031,279.832,253.473,269.394,267.248,259.782,0.286,0.247011,0.249513,0.214369,0.273054,1.224,1.08046,1.53848,1.23518,1.21063
92,2.051,2.01407,2.05249,2.12771,1.77255,308.085,307.85,315.121,316.917,301.49,0.318,0.310276,0.291168,0.275091,0.293992,1.899,1.64313,1.9322,1.91595,1.67469
93,2.044,2.1882,1.92481,1.93544,2.05518,327.884,313.319,308.33,326.482,336.235,0.577,0.557366,0.535165,0.554847,0.614804,2.909,2.06981,1.93689,2.264,2.40733
95,1.601,1.41356,1.60423,1.60512,1.5216,272.226,283.519,279.626,278.738,274.698,0.321,0.336103,0.303258,0.289906,0.315975,1.92,1.41811,1.72959,2.37611,1.93746
96,0.951,1.08398,1.2028,0.952331,1.24357,246.519,239.659,262.174,228.719,257.632,0.265,0.270193,0.262226,0.234749,0.319355,0.64,0.732884,0.847068,1.05295,1.10401
97,1.146,1.29636,1.39768,1.20487,1.21204,265.088,263.06,254.483,262.848,258.203,0.221,0.19765,0.204817,0.163991,0.219445,0.554,0.951449,0.850917,0.955196,0.739924
98,1.711,1.6559,1.6206,1.72203,1.68847,256.978,290.221,296.114,268.182,280.349,0.134,0.147684,0.166828,0.195939,0.153068,2.221,1.36662,1.43336,1.63356,1.42889
99,1.706,1.22478,1.4232,1.35212,1.50905,270.66,269.718,263.715,264.801,251.975,0.217,0.201729,0.211823,0.201767,0.191761,1.624,1.16538,1.57503,1.60007,1.13601
100,0.97,1.04661,0.962772,0.974986,0.994983,292.875,250.289,264.229,264.329,261.513,0.765,0.656824,0.66709,0.6202,0.641868,1.534,1.68823,1.57854,2.07287,1.83687
101,1.53,1.5858,1.62472,1.45779,1.62573,281.588,300.364,279.306,270.903,271.885,0.392,0.421434,0.364085,0.417513,0.434243,1.637,1.84011,1.78888,2.02582,1.48355
102,1.787,1.67565,1.63734,1.67816,1.77636,280.384,285.863,283.535,296.293,283.097,0.285,0.295856,0.291841,0.294647,0.270255,2.136,2.0619,1.81608,1.97981,1.98025
103,1.328,1.28741,1.11944,1.31076,1.29956,289.38,278.451,273.116,281.233,269.097,0.389,0.362107,0.384799,0.373894,0.396643,1.025,1.04447,1.13198,0.973132,1.04089
