id,Einstein_Radius_actual,Einstein_radius_Inception,Einstein_Radius_Sequential,Einstein_Radius_ResNet,Einstein_Radius_ResNetXt,Sigma_V_actual,Sigma_V_Inception,Sigma_V_Sequential,Sigma_V_ResNet,Sigma_V_ResNetXt,RedShift_Lens_ZL_actual,RedShift_Lens_ZL_Inception,RedShift_Lens_ZL_Sequential,RedShift_Lens_ZL_ResNet,RedShift_Lens_ZL_ResNetXt,Redshift_Source_ZS_actual,Redshift_Source_ZS_Inception,Redshift_Source_ZS_Sequential,Redshift_Source_ZS_ResNet,Redshift_Source_ZS_ResNetXt
526,0.926,0.945495,0.863932,1.04327,1.02876,230.292,219.431,206.957,221.694,213.623,0.225,0.196185,0.207097,0.252701,0.230059,0.635,1.1354,0.969654,1.16364,1.43066
527,0.999,1.00326,0.970364,0.961926,1.06153,277.546,286.196,305.142,323.699,339.41,0.947,1.06222,1.04711,0.870085,1.03629,2.445,2.58417,2.50379,3.36192,2.45596
528,1.429,1.3011,1.36297,1.35572,1.29808,256.348,276.961,273.399,247.246,256.256,0.293,0.349294,0.300857,0.294419,0.340884,1.726,1.58618,1.87251,1.96498,1.05408
529,1.365,1.61659,1.45386,1.32776,1.42622,243.189,262.968,252.27,255.5,267.069,0.236,0.24976,0.272354,0.264169,0.229248,1.741,1.71303,1.76351,1.7412,1.12776
530,1.924,2.00598,1.95612,2.3086,2.12177,315.016,299.873,293.749,314.241,301.923,0.143,0.150436,0.139765,0.159398,0.13666,0.477,0.91888,1.0777,1.29964,1.31811
531,0.972,0.956306,1.06756,0.947744,0.935578,253.889,242.716,257.316,224.992,268.362,0.697,0.638761,0.706947,0.703397,0.622674,2.038,1.80805,2.20659,2.06253,2.65077
532,0.962,0.948361,1.03248,0.981473,0.988277,205.677,220.279,202.356,218.318,219.358,0.387,0.376352,0.398217,0.448619,0.411439,3.95,2.23246,2.14659,2.44229,2.31578
533,1.529,1.60821,1.48959,1.53702,1.45061,280.645,277.899,284.048,287.799,281.699,0.414,0.380824,0.391059,0.415503,0.425186,1.813,1.76959,1.96887,2.11248,1.82835
534,1.422,1.52881,1.45564,1.35985,1.40089,282.23,295.265,282.359,299.316,292.376,0.557,0.53113,0.534522,0.499746,0.540893,2.189,2.29817,1.90233,2.23676,2.17033
535,2.031,1.98811,1.95847,1.82901,1.8628,303.982,292.302,296.334,307.018,282.815,0.366,0.368666,0.377033,0.318241,0.38528,2.678,1.6681,1.85309,1.95633,2.15334
536,1.119,1.07699,1.13044,1.15859,1.11104,258.565,258.085,242.027,248.793,246.082,0.341,0.330042,0.343736,0.33033,0.341525,0.958,1.40011,0.986186,1.40657,0.849672
537,1.484,1.39206,1.46797,1.38436,1.35655,252.136,253.369,256.104,257.445,265.391,0.27,0.326395,0.299911,0.297168,0.294442,2.381,1.72387,1.7634,1.36235,1.63078
538,0.827,0.886195,0.813164,0.897876,0.847364,298.455,263.38,240.223,242.589,264.938,0.982,0.822614,0.800615,0.911033,0.862864,1.755,2.18575,1.93253,3.11473,1.79599
539,1.112,1.23132,1.2824,1.31747,1.08243,237.41,248.483,260.221,258.265,241.077,0.339,0.341235,0.355757,0.313221,0.356423,1.429,1.7913,1.16253,1.48319,1.28882
540,1.48,1.26878,1.41601,1.36469,1.47665,268.45,267.383,260.418,270.052,259.521,0.397,0.408535,0.428237,0.394543,0.398142,2.123,2.57607,2.09259,2.1436,2.58704
541,1.088,1.0862,1.02662,1.03973,0.969101,218.266,211.231,204.118,209.673,207.745,0.225,0.215462,0.219474,0.177042,0.240508,1.516,1.60131,1.43261,1.22255,1.36755
542,2.248,1.984,2.14388,2.14443,2.07995,357.656,362.414,359.896,357.332,351.045,0.62,0.613448,0.549605,0.609757,0.571651,2.482,2.43154,2.41026,3.40223,2.10024
543,1.11,1.0419,1.10532,1.10067,1.07624,262.293,285.289,299.582,285.154,300.632,0.783,0.735491,0.674051,0.761346,0.973899,2.865,3.08561,3.09331,3.16899,3.02982
544,1.094,1.30535,1.20427,1.09753,1.18468,215.959,217.111,211.851,223.088,224.205,0.146,0.161699,0.157635,0.163579,0.152306,0.97,1.07176,1.1103,1.36782,0.873857
545,1.177,1.2041,1.14827,1.15937,1.11394,278.565,271.998,261.877,257.912,263.955,0.466,0.433669,0.565372,0.457934,0.414703,1.192,1.66293,1.68759,1.9545,2.06714
547,1.798,1.52096,1.35509,1.63422,1.35963,274.875,259.975,260.518,253.197,248.232,0.17,0.14549,0.153809,0.160162,0.149297,1.31,0.751718,0.850558,1.31914,1.02264
549,1.821,1.96855,1.95263,1.74683,1.79218,308.435,306.453,312.901,310.14,293.321,0.49,0.452117,0.420828,0.426742,0.508939,2.244,1.51154,2.12688,2.01941,1.60967
550,0.925,1.00732,0.954077,0.900074,0.935719,192.449,219.717,222.791,211.606,222.614,0.204,0.264795,0.263402,0.316378,0.287463,2.843,0.971819,1.53288,1.30394,0.912598
551,1.288,1.29817,1.21417,1.21314,1.18681,330.889,309.313,313.663,294.502,307.89,0.944,0.887465,0.860923,0.732324,0.824138,2.117,2.82155,2.85371,2.77069,2.13058
552,2.754,2.23749,2.39792,2.61578,2.19379,337.19,336.654,329.97,325.305,346.442,0.243,0.161699,0.176082,0.20649,0.192087,2.76,1.3602,1.4419,1.62834,1.9049
553,1.49,1.46566,1.5911,1.43519,1.55615,252.621,268.545,266.397,259.318,272.819,0.299,0.335803,0.347604,0.313527,0.361376,2.901,1.58658,1.57879,1.9836,1.6393
554,1.012,0.968042,0.929691,1.04115,1.00157,244.442,233.649,253.081,254.277,233.44,0.567,0.618096,0.594185,0.637625,0.509748,1.939,1.73405,2.58198,1.77312,2.21088
555,1.402,1.17503,1.14505,1.18433,1.24308,260.33,257.887,250.733,252.215,247.245,0.309,0.28033,0.314039,0.300051,0.342786,1.49,1.05976,1.34013,1.06787,1.22898
556,1.335,1.25541,1.3617,1.44705,1.40548,273.548,290.98,283.159,280.055,279.777,0.471,0.532685,0.546742,0.500676,0.492481,1.693,1.6609,2.16443,1.5049,1.68541
557,2.325,2.35399,2.39115,2.52041,2.45717,321.915,334.835,308.514,316.098,338.991,0.355,0.351725,0.346307,0.366201,0.334199,2.923,1.76019,1.9281,2.22067,1.64221
559,1.09,1.02722,1.03669,1.05341,1.03621,212.049,210.3,216.476,222.386,220.576,0.229,0.229893,0.237855,0.232565,0.289518,2.498,1.218,0.773764,1.27466,1.12105
560,2.046,2.09011,2.02959,1.72082,1.89181,346.393,355.9,361.608,344.152,347.567,0.601,0.595307,0.569773,0.627989,0.59453,2.161,2.7298,2.39025,2.3604,2.37332
561,1.283,1.3141,1.24512,1.32017,1.34504,296.426,246.604,248.556,268.757,255.469,0.281,0.238783,0.234657,0.265033,0.22704,0.624,1.87692,1.68708,1.80532,0.785085
562,1.373,1.4223,1.33181,1.31026,1.3659,287.939,302.488,313.272,285.849,289.548,0.69,0.697707,0.745621,0.636698,0.706127,2.492,2.33902,2.07723,2.33478,1.73034
563,0.979,0.904475,0.951344,0.975659,0.938855,244.074,275.915,262.897,231.527,292.127,0.753,0.808493,0.814953,0.852328,0.800766,2.814,2.22508,2.08469,2.4318,2.1658
564,1.148,1.38837,1.17417,1.20102,1.18541,209.686,221.415,224.749,216.449,228.383,0.117,0.161699,0.154466,0.155932,0.133982,1.985,1.23665,1.24834,1.31483,0.978371
565,2.725,1.33924,1.56344,1.82221,1.29351,364.04,272.02,264.511,277.352,271.129,0.153,0.0953673,0.116477,0.123746,0.121419,0.598,0.777537,0.964874,0.993191,0.835629
566,1.241,1.18499,1.23834,1.14518,1.24411,273.244,283.105,261.597,254.646,264.149,0.567,0.467215,0.441778,0.437279,0.446718,1.853,2.1412,2.72441,2.21699,2.51198
567,1.404,1.35195,1.36113,1.58289,1.37095,288.994,272.889,290.595,293.081,282.496,0.308,0.321494,0.286803,0.311365,0.296147,0.855,0.775384,1.54071,1.39977,0.995149
568,1.593,1.6677,1.55501,1.6417,1.5801,270.669,272.716,281.58,283.039,269.344,0.338,0.351847,0.360756,0.333075,0.326875,2.163,1.29181,1.90693,2.10657,2.34055
570,1.104,1.12867,1.13642,1.19009,1.14457,249.41,302.616,293.916,276.642,281.713,0.708,0.777232,0.744372,0.669384,0.770709,3.243,2.20421,2.23365,2.37253,2.51909
572,1.218,1.11679,1.1298,1.31662,1.20598,261.744,259.186,262.521,256.608,265.466,0.438,0.434222,0.404949,0.413655,0.438557,1.51,2.21799,1.76427,1.91579,2.22212
573,1.003,1.5507,1.36189,1.61257,1.44875,219.065,256.672,271.52,269.413,252.49,0.179,0.29997,0.19993,0.301352,0.303919,0.758,1.78808,1.60551,1.48206,1.73479
574,1.173,1.12661,1.16574,1.52563,1.29805,226.365,244.534,254.977,239.169,234.911,0.135,0.161699,0.161377,0.158857,0.153533,0.777,0.707851,0.858793,1.03627,0.749224
576,0.982,1.05953,0.974252,1.03122,0.909677,231.541,214.505,220.406,227.487,227.824,0.409,0.351251,0.34919,0.360948,0.373442,1.486,1.85163,1.89928,2.28465,1.71228
577,1.385,1.30899,1.49224,1.51965,1.45338,336.253,327.879,308.305,309.872,311.062,0.821,0.779971,0.670729,0.7257,0.715804,1.844,2.31272,2.26165,1.93764,2.71713
578,1.217,1.12746,1.33843,1.31796,1.22045,248.03,252.515,254.862,236.565,246.429,0.345,0.344339,0.382715,0.332131,0.346167,1.473,1.38128,1.7898,2.13148,2.12284
579,1.222,1.19546,1.34544,1.03661,1.28504,254.584,256.85,270.271,261.139,261.446,0.52,0.54286,0.523531,0.539494,0.490845,2.347,2.59772,2.07822,1.94421,2.05859
580,2.305,2.57304,2.42309,2.10321,2.76846,320.14,277.188,285.723,290.084,289.832,0.215,0.232516,0.174316,0.161304,0.157419,1.3,1.54466,0.916669,1.44228,1.21679
581,0.736,0.840267,0.771045,0.71821,0.780229,236.546,231.854,229.453,238.72,240.544,0.472,0.482442,0.383533,0.438255,0.481813,0.999,1.60735,1.59182,2.24132,1.31961
582,1.955,2.2977,2.43031,2.12865,2.3549,358.999,295.86,301.919,293.556,291.562,0.108,0.0993732,0.100264,0.176565,0.154234,0.235,1.91297,1.57587,1.64651,1.48846
583,1.078,1.04833,1.10466,1.05039,1.18427,295.109,293.824,302.036,351.187,308.308,0.926,0.934881,1.08761,0.831648,1.02247,2.205,2.5148,2.77762,3.03679,2.47875
584,1.131,0.895157,0.992739,1.04428,1.06983,247.029,263.636,255.886,255.27,246.605,0.404,0.424889,0.415398,0.441909,0.422088,1.508,1.05087,1.42471,1.69192,1.08414
585,1.51,1.53126,1.5967,1.68748,1.52422,253.293,263.047,271.751,263.491,270.732,0.21,0.238892,0.267254,0.245176,0.252259,1.664,2.08603,1.71095,1.62721,1.75802
586,1.888,1.77699,1.9431,2.01369,1.86068,319.267,331.829,329.653,334.371,315.26,0.62,0.656873,0.529675,0.725301,0.61653,2.98,2.61017,3.16483,3.04166,2.80033
587,0.852,0.865046,0.849397,0.828185,0.879804,205.946,227.819,230.973,226.388,215.391,0.48,0.52497,0.459072,0.533936,0.495841,2.65,2.78686,2.18792,2.36886,2.68765
588,1.518,1.22657,1.2482,1.41803,1.04667,241.026,238.799,239.902,236.758,230.178,0.118,0.161699,0.164918,0.144105,0.147129,2.025,1.24847,1.2202,1.18218,0.920844
589,1.619,1.90409,1.70124,1.61721,1.65548,341.438,350.718,350.16,338.873,334.415,0.54,0.565985,0.475373,0.562714,0.615861,1.26,1.09612,1.38215,1.11576,1.13979
591,1.698,1.52605,1.79125,1.61317,1.74258,286.342,288.805,289.344,280.006,283.166,0.333,0.368321,0.362313,0.311773,0.34587,1.667,1.68345,1.72775,1.74434,1.53453
592,2.644,2.21645,2.20688,2.21221,2.45682,327.988,316.665,314.383,320.047,299.085,0.199,0.161699,0.174382,0.204148,0.16566,2.24,1.71709,1.44376,1.66658,1.52572
593,0.838,0.849286,0.818644,0.926687,0.843375,254.427,209.959,222.041,243.301,227.558,0.772,0.706217,0.786512,0.659405,0.742573,1.827,2.16612,1.97709,1.98179,1.82563
594,0.733,0.893491,0.834923,0.884889,0.775272,186.271,194.931,200.787,190.309,205.382,0.291,0.356075,0.26784,0.345021,0.336794,1.492,1.18097,0.69808,2.00273,1.43212
596,1.283,1.3679,1.2033,1.24331,1.37067,273.334,278.58,272.319,266.012,289.688,0.504,0.50452,0.51006,0.475202,0.492427,1.693,2.09397,1.48966,1.46869,1.72536
599,2.084,1.91379,1.91944,2.03057,2.08551,312.954,297.522,304.806,301.664,321.328,0.387,0.359902,0.398723,0.409092,0.426524,2.431,2.17823,1.59522,2.08721,2.17607
600,0.876,0.914578,0.821902,0.857611,0.854223,305.062,240.637,243.037,242.987,235.531,0.766,0.570728,0.508946,0.583073,0.589121,1.312,1.50648,1.41495,1.45643,1.32627
602,1.574,1.49129,1.63357,1.56308,1.57485,294.371,305.445,301.584,296.998,294.592,0.509,0.486927,0.544034,0.467826,0.554463,2.0,1.82748,1.86475,1.93076,1.80528
603,1.325,1.3153,1.29896,1.33465,1.29523,301.138,312.623,307.713,286.596,320.287,0.743,0.675084,0.676085,0.672395,0.717491,2.107,2.14066,1.96874,2.09364,1.84925
604,0.821,0.840139,0.808661,0.843764,0.846104,318.373,311.679,304.884,307.25,256.901,1.339,1.05803,1.15385,1.01247,1.23075,2.342,2.59968,2.38819,2.37413,2.36878
605,0.851,1.09148,0.951431,0.953027,0.85519,211.198,243.611,238.1,241.655,262.128,0.548,0.934241,0.592441,0.513228,0.671213,2.682,2.29676,3.43588,3.05993,2.0611
606,1.204,1.13673,1.14959,1.38415,1.30233,239.839,248.366,244.211,252.316,254.511,0.212,0.245904,0.228387,0.259582,0.252623,0.934,1.01846,1.47327,1.2092,1.17331
607,2.567,2.39606,1.89634,2.26474,1.8932,378.455,339.959,303.021,311.065,318.341,0.207,0.161699,0.164934,0.158032,0.148976,0.606,0.942577,1.14851,1.27263,0.970323
608,1.398,1.40159,1.2764,1.49574,1.3011,281.46,294.781,291.456,284.226,286.405,0.61,0.635665,0.63231,0.585946,0.631644,2.445,2.05229,2.09177,2.1755,2.14543
609,0.718,1.04089,0.982981,1.02233,0.920909,223.933,221.928,231.187,237.331,227.598,0.38,0.449156,0.439139,0.387145,0.379555,0.859,2.01488,1.15005,1.74985,2.7464
610,0.948,0.970835,1.05138,1.01921,1.02438,238.21,226.92,222.413,255.39,245.068,0.461,0.525417,0.651793,0.615029,0.567325,1.405,1.6793,1.90391,1.97936,1.9124
611,1.307,1.2264,1.38158,1.2232,1.2464,265.081,267.271,256.624,264.544,273.242,0.469,0.423599,0.498392,0.361291,0.502785,1.898,2.35337,2.14685,1.86713,1.877
612,1.52,1.44461,1.64019,1.36799,1.49203,253.411,245.925,249.319,228.124,252.043,0.169,0.161699,0.178948,0.209647,0.193987,1.249,1.77811,1.69112,1.6883,1.4203
613,1.148,1.0315,1.03035,0.974893,1.06637,298.721,271.366,265.137,245.18,291.82,0.941,0.831165,0.953345,0.821,0.871886,2.394,2.51053,2.69674,2.55675,2.15805
616,1.189,1.25506,1.10238,1.03496,1.11178,245.555,229.385,222.394,227.793,238.589,0.41,0.392659,0.376211,0.403705,0.418501,1.887,1.73337,1.88109,2.46028,1.49886
617,1.141,1.10152,1.25477,1.2039,1.12885,238.718,240.06,240.785,240.192,233.47,0.269,0.272409,0.276172,0.27342,0.295779,1.096,1.4321,1.33329,1.55283,1.10437
619,1.468,1.40478,1.44991,1.56091,1.60506,304.105,312.582,308.842,328.184,332.563,0.817,0.708935,0.842829,0.747775,0.767206,2.941,3.29181,2.06355,3.20692,2.98632
620,1.98,1.75562,1.83136,1.85222,1.94474,339.856,333.083,329.036,339.489,348.173,0.694,0.729859,0.726895,0.670167,0.68285,2.78,2.66787,1.91383,2.06994,2.42386
621,1.493,1.81975,1.66068,1.41486,1.65831,331.517,321.965,330.348,332.539,346.942,0.682,0.621913,0.626201,0.582908,0.622804,1.653,1.88451,2.05805,2.43718,3.40609
622,1.805,1.90002,1.72517,1.7721,1.65567,303.975,306.658,303.409,309.46,307.921,0.351,0.356963,0.358752,0.320647,0.329272,1.452,1.61853,1.78943,2.07716,1.97272
623,1.252,1.28593,1.19017,1.223,1.21806,280.807,281.379,292.092,286.847,275.624,0.623,0.625341,0.612881,0.584155,0.6484,1.923,1.55046,1.65559,1.91749,1.67061
624,1.764,1.68912,1.72238,1.68922,1.78436,299.789,302.726,301.543,299.7,302.647,0.403,0.358962,0.410533,0.356531,0.364763,1.808,2.46465,1.94753,1.97378,1.80178
626,2.083,1.90999,1.92525,1.98205,1.95543,328.752,325.15,316.551,323.866,321.607,0.408,0.40076,0.389614,0.361571,0.407513,1.729,1.72729,1.8545,1.7312,1.59518
629,2.161,1.89901,1.98618,1.95605,2.18411,321.778,295.17,292.97,285.628,308.544,0.233,0.215315,0.215685,0.191147,0.212722,1.043,1.50948,1.72554,1.55639,1.20146
630,2.002,2.37176,1.97865,2.41677,2.07226,343.252,372.946,356.616,346.124,326.803,0.362,0.319552,0.361911,0.330218,0.327474,1.062,1.0817,1.52074,1.58347,1.74382
631,1.071,0.945425,0.976246,0.896255,0.934238,228.265,207.556,229.318,236.388,220.661,0.514,0.511859,0.475958,0.568895,0.446986,3.424,2.4612,2.4014,2.48985,2.18602
632,1.661,1.48257,1.54077,1.66158,1.64046,291.833,290.277,287.774,296.751,279.782,0.528,0.545428,0.541482,0.508472,0.550482,2.759,1.65431,2.09774,2.20229,2.19115
633,1.537,1.46753,1.57464,1.68987,1.45859,295.556,301.055,293.451,320.81,287.718,0.354,0.368113,0.364952,0.345113,0.372784,1.11,1.82815,1.84989,1.89395,1.7637
635,1.111,1.07619,1.1165,1.26868,1.20449,272.198,327.164,285.824,267.964,301.887,0.866,1.04336,0.960738,0.908818,0.950304,2.82,2.69972,2.6445,2.23165,2.76622
637,0.959,1.33913,1.24919,1.07277,1.2535,202.182,244.837,245.769,211.422,239.67,0.109,0.180154,0.172529,0.157994,0.177744,0.677,1.17803,0.97863,0.961748,0.756628
638,0.665,0.628717,0.602933,0.764959,0.707638,206.966,191.868,197.594,204.377,191.194,0.277,0.320468,0.250364,0.23307,0.289581,0.666,0.797926,0.949123,0.963531,0.923513
639,1.68,1.75133,1.60072,1.61754,1.52516,280.517,308.49,277.131,260.92,275.177,0.281,0.262522,0.305838,0.28161,0.310179,1.48,1.58343,1.74574,1.63852,1.66606
640,1.315,1.66197,1.57492,1.41319,1.44431,245.838,278.988,284.814,257.847,279.252,0.333,0.429263,0.456104,0.437668,0.392452,2.129,1.95241,2.06043,2.20653,2.2015
641,1.839,2.08381,1.92563,1.95277,1.87766,295.022,319.368,325.888,305.275,306.534,0.433,0.465129,0.456352,0.50328,0.476518,2.865,2.62836,2.47731,2.02009,1.90405
642,1.459,1.25188,1.13464,1.51218,1.37789,309.471,282.13,288.555,285.395,273.658,0.306,0.270452,0.295059,0.2458,0.302743,0.725,0.695541,0.71152,0.924342,0.724781
644,1.77,1.86781,1.7608,1.94884,1.8696,294.108,303.404,298.958,295.206,296.53,0.333,0.31092,0.372504,0.368942,0.334109,1.587,2.15536,2.15209,2.04016,1.65629
645,0.795,0.787656,0.778884,0.757108,0.843742,186.38,199.372,187.976,200.75,200.14,0.317,0.376944,0.354109,0.335374,0.363204,2.744,1.8094,2.04334,1.91296,2.08647
646,1.421,1.51396,1.35586,1.26852,1.42423,254.185,251.531,252.397,252.189,252.692,0.311,0.315159,0.339311,0.350576,0.32301,2.007,1.58525,1.80846,1.82008,1.52604
648,0.949,1.06345,1.14545,1.22657,1.16958,200.231,202.463,213.844,217.33,223.1,0.198,0.214108,0.253445,0.257599,0.263058,1.585,1.51761,1.68302,1.92379,1.79558
649,2.336,1.93226,2.18167,2.12602,2.10507,315.892,311.173,320.691,307.152,334.833,0.169,0.161699,0.190731,0.210435,0.18411,1.171,1.85863,1.56535,1.63806,1.65725
650,1.413,1.4691,1.36247,1.35635,1.23162,315.176,293.326,319.137,312.55,304.359,0.474,0.459361,0.47541,0.374248,0.468162,1.107,1.29964,1.33338,1.64868,1.67024
651,1.265,1.21377,1.27521,1.29053,1.2159,270.103,256.814,249.824,277.76,255.4,0.583,0.6606,0.548509,0.519204,0.567197,2.16,1.90392,2.30632,1.46013,2.08441
652,1.897,2.00511,1.94471,2.04705,2.11689,272.887,297.595,286.317,277.862,289.421,0.1,0.127853,0.122919,0.134166,0.118463,1.114,1.04754,0.951704,1.02227,0.806941
653,1.483,1.48772,1.40814,1.56613,1.44394,284.319,279.068,278.911,291.324,284.826,0.5,0.478464,0.407213,0.444242,0.469155,2.007,1.8969,2.78424,2.41471,2.01079
654,1.257,1.29907,1.28746,1.48176,1.33943,282.329,270.007,272.051,256.571,284.445,0.56,0.567203,0.57048,0.597756,0.548424,1.628,1.85272,1.63401,1.85616,2.13476
655,1.35,1.50588,1.60412,1.84616,1.90111,316.374,319.334,310.139,325.59,319.192,0.239,0.187214,0.1946,0.17399,0.205961,0.478,0.736413,1.38717,1.24962,0.865636
656,1.477,1.51373,1.51171,1.39147,1.48504,294.451,322.729,292.26,315.017,294.598,0.609,0.600739,0.625091,0.559174,0.588092,2.203,1.85586,1.96239,1.87563,1.97208
657,1.839,1.81435,1.71563,1.5846,1.75116,271.778,282.254,280.295,245.252,280.857,0.211,0.229608,0.262257,0.244939,0.250487,2.941,2.02784,1.85391,1.83297,1.7843
660,1.919,1.7313,1.7431,2.06216,1.87315,339.534,335.743,311.745,339.478,342.931,0.59,0.604513,0.572949,0.526917,0.638347,1.978,2.3291,1.71191,1.86053,2.00943
661,0.989,0.951173,1.00439,0.971081,0.943452,251.02,245.956,254.497,237.281,265.221,0.561,0.576254,0.564704,0.5815,0.628744,1.616,1.59225,1.87288,1.6618,1.70602
662,1.244,1.10915,1.24456,1.2572,1.2701,256.343,263.634,255.607,267.187,261.239,0.344,0.357435,0.341906,0.342749,0.325362,1.282,1.08269,0.994255,1.64192,1.38601
663,1.481,1.71709,1.78071,1.58577,1.4276,316.655,342.111,334.012,341.438,345.253,0.541,0.540961,0.56234,0.567429,0.53716,1.384,1.90796,1.33161,2.29389,1.37337
664,1.286,1.23134,1.2375,1.23038,1.26702,255.201,246.512,235.228,248.212,252.234,0.271,0.253402,0.249563,0.258427,0.286321,1.059,2.08134,2.00244,1.52713,1.10466
665,1.572,1.57385,1.4259,1.50591,1.50879,263.965,280.919,266.893,260.201,277.259,0.351,0.40074,0.396312,0.369041,0.399891,2.98,1.79664,1.9006,2.69552,2.50055
666,1.946,2.20137,2.32998,2.10881,2.33426,266.744,293.139,280.037,304.856,290.212,0.054,0.097086,0.109606,0.136405,0.107658,1.512,0.8141,0.865502,1.1006,0.98446
667,1.587,1.69138,1.82538,1.64638,1.80078,273.544,286.708,289.191,272.639,284.418,0.273,0.324645,0.346475,0.331867,0.33323,1.379,1.74583,1.54487,1.43682,1.52302
668,1.855,1.79198,1.47697,1.4428,1.58883,284.81,282.037,290.928,263.771,280.812,0.215,0.243159,0.240511,0.209388,0.239894,1.423,1.42051,1.01545,1.42373,1.29998
671,0.847,0.78008,0.756943,0.792771,0.765208,193.786,204.591,200.867,187.922,202.81,0.262,0.246798,0.26324,0.260566,0.293019,1.772,1.88598,0.940548,1.07461,0.886128
672,2.001,2.09958,1.90641,2.19955,2.00677,321.291,300.84,313.396,316.959,307.912,0.337,0.336551,0.347442,0.31035,0.373639,1.336,1.65329,1.94189,1.83039,1.99884
673,0.809,0.936628,0.919855,0.973504,0.865874,213.04,232.222,277.558,217.004,236.996,0.646,0.682148,0.684987,0.77034,0.704578,2.782,4.51941,2.40767,2.8508,2.45202
674,1.596,1.36815,1.51895,1.68112,1.49082,275.057,263.387,266.13,275.092,264.492,0.394,0.469231,0.431821,0.429169,0.394447,2.398,2.67493,2.46316,1.88832,2.045
675,1.266,1.32529,1.23238,1.26641,1.18031,267.968,252.533,253.495,269.93,244.178,0.252,0.223534,0.240662,0.24585,0.243461,0.737,0.982844,1.11761,1.35205,0.997631
676,1.42,1.33849,1.36173,1.2612,1.32363,278.674,269.018,261.637,269.088,269.548,0.507,0.513318,0.500793,0.532188,0.462946,2.028,2.44973,2.46071,1.78457,2.26118
680,2.14,1.80908,2.09629,1.95022,1.80087,359.357,372.588,344.155,358.486,370.233,0.776,0.658224,0.79228,0.62501,0.727017,3.042,3.31577,3.26618,2.69913,3.64917
681,2.083,1.98204,1.95659,1.87113,1.99963,353.946,328.615,327.033,325.21,318.699,0.601,0.457782,0.520361,0.580666,0.534246,2.025,3.16821,2.33233,2.22584,2.45226
682,1.589,1.58644,1.543,1.50321,1.51493,308.001,317.985,297.061,296.498,310.449,0.723,0.740831,0.798915,0.554528,0.637865,2.78,2.19704,2.2984,2.63685,3.34454
684,1.372,1.41276,1.33977,1.66817,1.6044,310.95,236.048,246.018,281.577,234.208,0.31,0.217413,0.243171,0.265726,0.248297,0.672,1.76846,1.96968,1.46396,1.11681
685,0.748,0.731864,0.755685,0.705249,0.704088,246.759,207.906,228.105,232.993,218.029,0.77,0.792358,0.716837,0.716551,0.708556,1.698,1.92116,2.04768,1.72954,2.00871
686,2.315,2.2019,2.6018,2.3139,2.45145,340.279,333.568,348.121,335.273,335.778,0.388,0.373553,0.390741,0.342881,0.386088,1.827,2.39482,1.93762,2.23373,2.09934
687,1.197,1.23792,1.24259,1.3807,1.20716,289.687,319.682,326.163,304.196,294.348,0.996,1.02691,0.974676,1.01147,1.00396,3.176,3.3342,2.80155,3.40551,3.03075
688,1.398,1.39358,1.3283,1.32161,1.39157,306.078,289.402,282.72,301.45,296.779,0.383,0.339134,0.361271,0.385981,0.359555,0.915,2.0624,1.19653,1.33762,1.03029
689,1.214,1.2958,1.264,1.37003,1.39,283.73,268.33,287.809,282.04,274.722,0.266,0.255577,0.23264,0.237046,0.249331,0.61,0.646116,0.952505,1.0583,0.784987
690,1.446,1.28755,1.39207,1.30882,1.31851,316.53,314.484,296.438,295.136,301.362,1.032,0.938475,1.3014,0.890052,1.23634,3.465,4.3056,4.98792,3.27419,4.1599
691,1.702,1.68657,1.67454,1.8006,1.75004,276.411,295.685,294.574,283.111,291.766,0.249,0.282746,0.274693,0.277914,0.258015,1.523,0.991171,1.59572,1.66721,1.84052
692,1.555,1.64464,1.55775,1.54311,1.35327,255.84,257.379,247.876,242.695,260.972,0.22,0.210556,0.229408,0.235349,0.240377,1.928,1.58774,1.71378,1.5154,1.36978
694,1.088,1.18623,1.15904,1.17345,1.21535,273.067,285.368,281.692,254.705,305.394,0.755,0.787592,0.747053,0.88792,0.771582,2.151,2.11562,2.28213,2.19653,2.22201
696,1.89,1.74038,1.79805,2.13944,1.74649,275.281,269.667,288.876,271.939,273.227,0.134,0.127327,0.138976,0.170762,0.149573,1.371,0.957044,1.05462,1.37987,1.23885
698,1.143,1.17492,1.219,1.19009,1.17708,284.915,303.824,297.79,292.743,298.348,0.95,1.00489,0.951658,1.0893,0.977648,2.855,2.38631,2.5509,2.41401,2.69877
701,1.678,1.58613,1.59356,1.78302,1.66001,336.381,317.134,313.598,317.428,308.042,0.547,0.517791,0.507411,0.490998,0.499137,1.414,1.83423,2.28101,2.12909,2.01224
702,0.801,0.617602,0.688478,0.711407,0.766661,201.965,193.775,200.326,215.207,198.984,0.481,0.469944,0.534499,0.600275,0.464879,2.408,1.4304,1.41842,1.6982,2.107
703,1.175,1.13238,1.08319,1.08326,1.11948,312.603,335.575,312.178,293.233,314.558,1.161,1.06721,1.04618,0.995803,1.11136,2.951,3.67908,2.96293,3.96196,3.06989
704,1.263,1.31731,1.22017,1.22492,1.32879,272.698,239.852,246.101,253.958,259.025,0.422,0.384234,0.408992,0.401609,0.396511,1.292,1.75923,1.38101,1.08525,1.05452
